,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,Abun,frequency
Otu1,0.996561823,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0298793062645796,1
Otu2,0.999999968,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.0469218026302444,1
Otu3,0.999986468,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0157510395888975,1
Otu4,0.998853769,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.0207444470739376,1
Otu5,0.999995088,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00281280638290679,1
Otu6,0.999999986,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00013861185300382,0.363636363636364
Otu7,0.716318071,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium,0.00742080530105819,1
Otu8,0.779480768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,0.0124649244396362,1
Otu10,0.918630086,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.00874945062375334,1
Otu11,0.99999994,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.00590959802562629,1
Otu12,0.851318141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Ambiguous_taxa,Ambiguous_taxa,0.00509821156901856,1
Otu13,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,0.00934784813550154,1
Otu14,0.999688758,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.0114371682612664,1
Otu15,0.999999044,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,0.00395888975286521,1
Otu16,0.998933632,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00304269921227898,1
Otu17,0.942196095,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00595354812535921,1
Otu18,0.999999376,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,0.00502721525406539,1
Otu19,0.848100979,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured soil bacterium,0.00245782480814091,1
Otu20,0.864500413,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,0.00062882450387099,1
Otu21,0.884855854,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,,0.00364785827783225,1
Otu22,0.807474636,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,uncultured,uncultured bacterium,,0.00212988944859529,1
Otu23,0.999999566,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,,,,0.00116298725447108,1
Otu24,0.993879737,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.00712329693363535,1
Otu25,0.999616997,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.0020994624564725,1
Otu26,0.949377276,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,,0.00228202440920924,1
Otu27,0.999985638,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,,,0.00385408566888671,1
Otu28,0.999999928,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,,0.000689678488116569,1
Otu29,0.998933108,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.0011021332702255,1
Otu30,0.727551821,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Crossiella,uncultured bacterium,0.000534162750600088,1
Otu31,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,,0.00379999323844619,1
Otu32,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,,0.00272152540653842,1
Otu33,0.99999921,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,0.000480070320159573,0.909090909090909
Otu35,0.999904075,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,0.00357348118597654,1
Otu36,0.748628969,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.00562561276581358,1
