,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,Abun,frequency
Otu1,0.996561823,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0275195239866121,1
Otu2,0.999999968,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.0519523986612124,1
Otu3,0.999986468,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0136143885864972,1
Otu4,0.998853769,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.0253084958923561,1
Otu5,0.999995088,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00720443557929612,1
Otu6,0.999999986,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.0186449846174651,0.272727272727273
Otu7,0.716318071,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium,0.00975016058690287,1
Otu8,0.779480768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,0.0157713242503127,1
Otu10,0.918630086,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.00500693059265019,1
Otu11,0.99999994,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.00884749315392677,1
Otu12,0.851318141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Ambiguous_taxa,Ambiguous_taxa,0.00482774941681599,1
Otu13,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,0.00738023597822779,1
Otu14,0.999688758,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.0066770343825011,1
Otu15,0.999999044,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,0.00165319990533825,1
Otu16,0.998933632,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00320497650360053,1
Otu17,0.942196095,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00436796375807161,1
Otu18,0.999999376,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,0.00500693059265019,1
Otu19,0.848100979,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured soil bacterium,0.00170391155887623,1
Otu20,0.864500413,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,0.00281618715980932,0.818181818181818
Otu21,0.884855854,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,,0.00319483417289293,1
Otu22,0.807474636,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,uncultured,uncultured bacterium,,0.00218060110213327,1
Otu23,0.999999566,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,,,,0.00167686534365597,1
Otu24,0.993879737,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.00810034145846715,1
Otu25,0.999616997,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.00190337739612563,1
Otu26,0.949377276,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,,0.00319821494979546,1
Otu27,0.999985638,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,,,0.0042935866662159,1
Otu28,0.999999928,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,,0.00178166942763447,1
Otu29,0.998933108,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.0018797119578079,1
Otu30,0.727551821,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Crossiella,uncultured bacterium,0.000970282971026742,1
Otu31,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,,0.00385746644578924,1
Otu32,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,,0.00197099293417627,1
Otu33,0.99999921,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,0.000970282971026742,0.727272727272727
Otu34,0.95754919,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Geranium incanum,,,6.7615538050644e-06,0.0909090909090909
Otu35,0.999904075,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,0.0034855809865107,1
Otu36,0.748628969,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.00765069813043038,1
Otu37,0.753763499,Bacteria,Chloroflexi,KD4-96,Ambiguous_taxa,,,,0.00350248487102336,1
Otu38,0.999979049,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,0.00110551404712803,1
Otu39,0.843180507,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,0.00160248825180026,1
Otu40,0.999598932,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7,,0.00161601135941039,1
Otu41,0.999805121,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,,,0.00229554751681937,1
Otu42,0.999995975,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.00371209303898036,1
Otu43,0.997826396,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.00143683018357619,1
Otu44,1,Bacteria,Acidobacteria,Subgroup 6,,,,,0.0113830758308259,1
Otu45,0.999999996,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,,0.00207241624125224,1
Otu46,0.997999899,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00254910578450928,1
Otu47,0.992201947,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,,,0.0035802427397816,1
Otu48,0.997206843,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,0.00182223875046486,1
Otu49,0.940696052,Bacteria,Chloroflexi,AD3,uncultured bacterium,,,,0.00186956962710031,1
Otu51,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,,0.000638966834578586,0.909090909090909
Otu52,0.998399306,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.00340782311775246,1
Otu53,0.999992798,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),11-24,,,,0.000344839244058285,1
Otu54,0.99849216,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,,0.00070658237262923,1
Otu55,0.990808332,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.000179181175834207,0.636363636363636
Otu56,0.982044386,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00255586733831434,1
Otu57,0.966678037,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured alpha proteobacterium,,0.000703201595726698,1
Otu60,0.740106904,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00107508705500524,1
Otu62,0.999999991,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.000770817133777342,0.454545454545455
Otu63,0.859127625,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00172081544338889,1
Otu64,0.999999863,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,0.0037898509077386,1
Otu65,0.867219794,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured soil bacterium,0.0050711653537983,1
Otu66,0.972575978,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,,0.00156191892896988,1
Otu67,0.9719028,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,,,0.00185942729639271,1
Otu68,0.999988305,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,,,0.00148754183711417,1
Otu69,0.900440962,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured Conexibacter sp.,,0.00151120727543189,1
Otu70,0.875998986,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudoduganella,uncultured bacterium,0.00369856993137023,1
Otu71,0.884271045,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,bacterium Ellin6517,,0.000625443726968458,1
Otu72,0.98136634,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,uncultured,uncultured Hyphomicrobiaceae bacterium,0.00124750667703438,1
Otu73,0.849202055,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,uncultured Gemmatimonadales bacterium,0.00169376922816863,1
Otu74,0.998359312,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00196423138037121,1
Otu75,0.999951004,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00106832550120018,1
Otu76,0.999977455,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,,0.00105818317049258,1
Otu77,0.800663648,Bacteria,Acidobacteria,Subgroup 6,uncultured Holophagae bacterium,,,,0.00285675648263971,1
Otu78,0.785885702,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,,0.0024781094695561,1
Otu79,0.999981798,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,,6.08539842455796e-05,0.363636363636364
Otu80,0.998624236,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,0.000872240440853309,1
Otu81,0.725042494,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,uncultured bacterium,0.000885763548463436,1
Otu82,0.845655054,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured proteobacterium,0.00164305757463065,1
Otu83,0.855907833,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,,0.00189661584232056,1
Otu84,0.776969322,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,A21b,uncultured Rhodocyclaceae bacterium,,0.000841813448730518,1
Otu86,0.78841789,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,Ambiguous_taxa,0.00162615369011799,1
Otu87,0.999999905,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,,0.0034855809865107,1
Otu88,0.999723194,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,,0.000486831873964637,1
Otu89,0.99987091,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Spongospora subterranea,,0.000158896514419014,0.181818181818182
Otu90,0.910400487,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,actinobacterium WWH12,0.000875621217755841,1
Otu91,0.994988901,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,,0.00123398356942425,1
Otu92,0.999325302,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,0.0016903884512661,1
Otu93,0.865393692,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,uncultured Rhodospirillaceae bacterium,0.00105480239359005,1
