,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,Abun,frequency
Otu1,0.996561823,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0301632915243923,1
Otu2,0.999999968,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.0184083302342878,1
Otu3,0.999986468,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0213022752628554,1
Otu4,0.998853769,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.0157747050272153,1
Otu5,0.999995088,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00122046046181413,0.909090909090909
Otu7,0.716318071,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium,0.01785050204537,1
Otu8,0.779480768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,0.00747151695459617,1
Otu10,0.918630086,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.00122046046181413,0.909090909090909
Otu11,0.99999994,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.00577098617262247,1
Otu12,0.851318141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Ambiguous_taxa,Ambiguous_taxa,0.00270462152202576,1
Otu13,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,0.00542276615166165,1
Otu14,0.999688758,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.00244430170053078,1
Otu15,0.999999044,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,0.00579127083403767,1
Otu16,0.998933632,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00390479732242469,1
Otu17,0.942196095,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00222793197876872,1
Otu18,0.999999376,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,0.0080834375739545,1
Otu19,0.848100979,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured soil bacterium,0.00211298556408263,1
Otu20,0.864500413,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,0.000270462152202576,0.909090909090909
Otu21,0.884855854,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,,0.00503397680787044,1
Otu22,0.807474636,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,uncultured,uncultured bacterium,,0.00146387639879644,1
Otu23,0.999999566,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,,,,0.00578789005713513,1
Otu24,0.993879737,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.0051759694377768,1
