,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,Abun,frequency
Otu1,0.996561823,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0192433821292133,1
Otu2,0.999999968,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.0358700429358667,1
Otu3,0.999986468,Bacteria,Firmicutes,Bacilli,Bacillales,,,,0.0152675884918354,1
Otu4,0.998853769,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.040001352310761,1
Otu5,0.999995088,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00756279793096453,1
Otu6,0.999999986,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,,0.00145711484499138,0.363636363636364
Otu7,0.716318071,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium,0.0105378816051929,1
Otu8,0.779480768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,0.0105885932587309,1
Otu10,0.918630086,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.0078738294059975,1
Otu11,0.99999994,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,,0.00797863348997599,1
Otu12,0.851318141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Ambiguous_taxa,Ambiguous_taxa,0.00514892322255654,1
Otu13,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,0.0101761384766219,1
Otu14,0.999688758,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,,0.00530781973697556,1
Otu15,0.999999044,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,0.00373913925420062,1
Otu16,0.998933632,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00401974373711079,1
Otu17,0.942196095,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.00501031136955272,1
Otu18,0.999999376,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,0.00646404543764157,1
Otu19,0.848100979,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured soil bacterium,0.00304269921227898,1
Otu20,0.864500413,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,0.00394536664525508,1
Otu21,0.884855854,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,,0.00431387132763109,1
Otu22,0.807474636,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,uncultured,uncultured bacterium,,0.00253896345380168,1
Otu23,0.999999566,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,,,,0.00114946414686095,1
Otu24,0.993879737,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,0.00645728388383651,1
Otu25,0.999616997,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.0016903884512661,1
Otu26,0.949377276,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,,0.00333682680279928,1
Otu27,0.999985638,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,,,0.00357348118597654,1
Otu28,0.999999928,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,,0.00183238108117245,1
Otu29,0.998933108,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.00155177659826228,1
